username,tweet,location,followers_count
Hope012015,"Poll: Voters worry Trump has made America less respected
https://t.co/auyvAM92f8","Texas, USA",66758
OMGStacks,"Facebook launches map to help identify coronavirus hot spots early https://t.co/FYlHcWwt62 https://t.co/YjxQ4Ys6Ba","Hic et ubique terrarum",86476
FOX5Vegas,"The South Point Hotel and Casino has announced it will begin furloughing most of its staff on May 3 "for an indefinite period" as a result of the property's closure due to the COVID-19 pandemic. 
https://t.co/FR9JWd8CbG","Las Vegas",247294
GovExec,"Despite Coronavirus, ‘The Machinery Continues’ at Immigration Courts https://t.co/5gKwp5xKrW https://t.co/bmSK2NtdOT","Washington, DC",50292
KQED,"Meet Tamu Bustos, an ER nurse at Highland Hospital in Oakland who isn't able to see and hug her kids due to her work on the front lines of the #coronavirus pandemic.

Here's how kids of healthcare workers are coping with being unable to see their parents: https://t.co/ByNVHbz4Df https://t.co/FOciF2rZFJ","San Francisco, CA",86438
1011_News,"The Central District Health Department is reporting three new deaths related to COVID-19 in Central Nebraska. https://t.co/NZkLmEYC7P","Lincoln, NE",68022
KyleClark,"Dr Herlihy is recapping the info that all the cool kids read about earlier today in this thread: https://t.co/PuIBxKkJeG","Denver, CO",103509
MutindaKisio,"Countering the Economic Effects of CoronaVirus through FREE Mass Distribution of the $EMPR Coin https://t.co/XlDoGibOSV

#pandemic 9
#Job",Global,69827
POWER987News,"SA records fourth consecutive daily spike of over 100 Covid-19 cases https://t.co/z6DC8EAZIh. 
#Covid19SA #LockdownSA https://t.co/VSqT3aVhF1","Johannesburg, South Africa",132924
FocusFamily,"Join Focus on the Family’s Vice President of Parenting, Danny Huerta, s he discusses making the most of this unprecedented time. Hear ideas on family fun. Conversation. Helping out a neighbor in need.

#parenting #focusonthefamily #FacebookLIVE https://t.co/q8zRib1dtI","Colorado Springs, CO",112182
TomthunkitsMind,"1 OF THE 3 #CORONAVIRUS BOMBSHELLS IN MY BOOK HAS JUST BEEN PROVEN TRUE:
Scientists from China have identified two strains of COVID-19.
See pages 44 &amp; 204: The Dangers Of The Duality Of COVID19
Get your copy now: https://t.co/LGyUaKTFMQ
ABC confirmed: https://t.co/iH1jR2NLUC
01","Atlanta, GA",70101
TheHillTimes,"Trump’s coronavirus pronouncements have had little impact on Canadian response as few have been realized, say analysts #cdnpoli 
https://t.co/tz0xGIFKUj https://t.co/V6bBoS1RHj","Ottawa, ON, Canada",89143
cbschicago,"10 year-old Skye Chaseley, a   gymnast and figure skater, is battling Covid-19, along with her 13-year-old sister, Saige. Their mother tested positive for COVID-19 last month.  @SuzanneLeMignot has the family's story, Monday at 5 PM.

MORE: https://t.co/GxwyENXZa5 https://t.co/sdd9pRnRhF",Chicago,165892
PrincessBravato,"Alcohol poisoning isnt smart",NULL,83579
GuardianAus,"Australia coronavirus live: Virgin expected to go into administration as national cabinet to discuss surgery – latest updates https://t.co/gcs7UXKHqu",Australia,258181
ChuckCallesto,"Breaking #FoxNews Alert : WATCH LIVE: Trump holds White House briefing with coronavirus task force","Florida, USA",249421
fox5dc,"Restaurants, other businesses to reopen in Georgia amid COVID-19 fight https://t.co/kVMlNnecjD","Washington DC",300215
georgewrighster,"This is why it’s important to read for yourself. Don’t just trust headlines/tweets. 

The study is an estimate based upon a 863 person antibody study (will be repeated 2-3 weeks.)

The Stanford study is 3300 people from social media.
#NeedMoreInfo
https://t.co/9CiNfOLygX","Los Angeles, CA",66127
FOX21News,"HAPPENING NOW: @POTUS and the White House coronavirus task force are holding a briefing to update the country on the fight against #covid19 
https://t.co/KBgvCEtGl5","Colorado Springs, Colo.",52790
WLTX,"Columbia Housing hires security company to enforce social distancing https://t.co/IKGBs14Mz7","Columbia, SC",121139
PhillyInquirer,"Coronavirus is largely spread by people without symptoms. That makes reopening the economy harder in many ways. https://t.co/2i4bjT3L7Z","Philadelphia, PA",401302
PhillyInquirer,"Let community banks and nonprofit lenders give small businesses emergency coronavirus PPP loans, Pa. congressman says https://t.co/byLk0nWISb","Philadelphia, PA",401302
CNNPolitics,"Maryland Gov. Larry Hogan credits his wife, Yumi Hogan, with securing half a million coronavirus test kits from South Korea https://t.co/YYsCgAc9qF https://t.co/JbvihwUpMm","Washington, DC",3344910
FrankFigliuzzi1,"There is no constitutional right to infect others. #coronavirus","Tucson, AZ",294489
ZENINEWS,"THE MIGHTY - HEALTH RESOURCES FOR ALL reports: Dermatologists Highlight Skin Rash as Potential COVID-19 Symptom  https://t.co/w9kLfp9jfJ","United States",107329
RichLowry,"The piece just mentioned by @realDonaldTrump at the briefing 

How the Media Completely Blew the Trump Ventilator Story https://t.co/dJevkcYoMg",NULL,185886
vanguardngrnews,"CNN presenter, Richard Quest, infected with coronavirus

Read more at: https://t.co/MLtwWSQ7Az",Nigeria,2456842
Eater,"Detroit encourages all essential workers to get tested for coronavirus (Via @EaterDetroit)  https://t.co/BIA4LEFr5u https://t.co/3M34ekSHKz",NULL,530462
nationalpost,"COVID-19 outbreak leads to Ontario jail being closed after 60 inmates, eight staff test positive https://t.co/EXxSDo8cf2",Canada,859888
KUTV2News,"STREAMING NOW: President #Trump, others speaking about efforts to battle #coronavirus 

https://t.co/6mHwEdpfYa https://t.co/ho7P0sT1VD",Utah,115639
usatodayDC,"Coronavirus hospitals in the field: How the Army Corps of Engineers fights COVID-19 with tents: 
https://t.co/trHMz3f5Ko","Washington, D.C.",213159
Independent,"Bird dies after getting tangled in coronavirus face mask https://t.co/pEISFRwcAq","London, England",3195531
MSN,"Animal shelters across U.S. are emptying amid pandemic https://t.co/38kYafRKS0","Redmond, WA, USA",235505
elephantjournal,"Anyone watch One World: Together At Home? What was your favorite moment? Here's one of mine: https://t.co/59Dg9pzBGy","Boulder, Colorado",95069
WDRBNews,"Kentucky deaths linked to COVID-19 top 150 and new cases exceed 3,000 as of Monday: https://t.co/HdUcL4Wg12 https://t.co/8rmZ1uzogM","Louisville, KY, US, 40203",136439
orlandosentinel,"Seminole to start free coronavirus testing in historic black neighborhoods https://t.co/DJYyZjyj6R","Orlando, FL",316438
KHONnews,"An additional 9 recoveries were reported, totaling 423 cases who have been released from isolation. https://t.co/JEPWoU2dPg","Honolulu, Hawaii",118477
TNLUK,"@ELVISLEO131 The National Lottery Community Fund, will be devoting up to £300m over the next few months to help those most vulnerable within our communities during the Coronavirus crisis.  ^Jasmine",UK,190367
officialmcafee,"Yet another seldom discussed side effect of Coronavirus: https://t.co/KwnVGy74tm","Where I Can't Be Found",1066637
OttawaCitizen,"Sex workers say they're at risk, have been left out of Canada's COVID-19 response https://t.co/w4stmMdppz https://t.co/EWIPpOmSFQ","ÜT: 45.246915,-76.163963",214609
guardiannews,"Coronavirus map of the US: latest cases state by state https://t.co/UcxVA9RkJn",NULL,3156899
DailyFXTeam,"US President Trump:

-Hopes Senate will vote on coronavirus relief loans tomorrow
-Filling up national strategic petroleum reserves (SPR)
-US looking to put up to 75 million barrels of oil into SPR","New York, London, Singapore",101289
Independent,"Opinion: Off the coast of Venezuela is exactly the distraction Trump needs https://t.co/GBYQNgVcNM","London, England",3195530
EastBayTimes,"Correction: State releases names of hundreds of nursing homes with positive COVID-19 cases https://t.co/IGDd2uxypU","East Bay",65314
MbalulaFikile,"Oil plunges below zero for first time in unprecedented wipeout https://t.co/xevl5krIpR","Pretoria, South Africa",2042052
JapanToday,"Turkey says Syria violating truce in rebel-held north: Turkey’s president on Monday accused the Syrian government of taking advantage of the world’s preoccupation with the coronavirus pandemic to increase attacks in rebel-held northwestern Syria in… https://t.co/XSMkkYmQYl","Tokyo, Japan",112456
Airtel_Presence,"@MamzuzaM Hi! We are excited for you to be part of the Airtel family! However, in view of the current COVID-19 pandemic, we are operational with limited resources. Due to this, processing your request may take longer than usual. Rest assured, we (cont) https://t.co/XpQToylUin https://t.co/2G23qpsqlP",INDIA,411737
CultureMapATX,"COVID-19 crisis sparking environmental changes in Austin and beyond https://t.co/k21gYuypVD","Austin, Texas",63738
CTVNewsVI,"LIVE @ 3

Provincial health officer Dr. Bonnie Henry and Health Minister Adrian Dix will provide a live update on COVID-19 cases in B.C. 

https://t.co/XIbz7SpJVt","Vancouver Island, BC",65504
NEWS1130,"WATCH LIVE: Daily COVID-19 update from Provincial Health Officer Dr. Bonnie Henry and Health Minister Adrian Dix https://t.co/ibrpTrKMxN https://t.co/UJAZYVrE79",Vancouver,242220
texyellowdogdem,"Madness...

Georgia has the 9th worst increase of Coronavirus cases in the nation...

Georgia had 790 new cases just yesterday...

The United States only had 118 cases on March 4th... https://t.co/9dugmHYvYA",Texas,59361
KyleClark,"NEW: @GovofCO Polis says he’ll look at many COVID-19 models but the state’s own model (calling for 55% social distancing for months) is the “most relevant.” #9News #covid19colorado","Denver, CO",103510
sbg1,"Spoiler alert: this story does not say we’re actually in good shape.",NULL,139191
JoeMyGod,"↓↓↓ Noted epidemiologist, adulterer, felon, and Trump ballsack gargler says COVID deaths are inflated.","Manhattan, NY",74821
LegendaryEnergy,"Another one! 55x more than reported. Which means death rate is WAY lower! https://t.co/hjuLoIXQ2b","United States",80153
KUTV2News,"Facebook says it will remove some, but not all, posts that promote events organizing anti-stay-at-home protests in some states.
#COVID19

https://t.co/b4xoJ92o86",Utah,115639
courierjournal,"'We won't be playing games with empty stands': U of L athletics uncertain amid COVID-19 https://t.co/Q1BB51zJcY","Louisville, Kentucky",91533
PittsburghPG,"U.S. lockdowns coincide with rise in poisonings from cleaners https://t.co/PAoLWF4rBs","Pittsburgh, Pa.",170032
DispatchAlerts,"Coronavirus live updates: States reveal reopening plans; Lockdown protests heat up; New York City cancels major June events https://t.co/Yd3637vGv2","Columbus, Ohio USA",189117
anadoluagency,"US: Poisoning from cleaners surges amid COVID-19 https://t.co/BxD3RE5IBG https://t.co/VfOw0eHTPQ","Ankara - TURKEY",136208
The_NewArab,"#Syria Weekly: 'Coronavirus continues to wreak havoc in #Syria' writes Paul McLoughlin https://t.co/NgotaMwaDQ",London,74890
DailyMailUK,"How losing weight could be key to surviving Covid-19 https://t.co/3Hj5iWe99P","London, UK",397582
seanhannity,"MEDIA AMNESIA: How the Media, Democrats Botched the Growing Coronavirus Crisis Coverage https://t.co/Jw6wlwe1OF",NYC,4775167
NME,"Schlesinger died earlier this month due to complications relating to the coronavirus

https://t.co/bq0Z5m0yi7",London,905728
DrAlexConcorde,"Patient's vivid account of what he saw on hospital ward https://t.co/anH8hoxwRp","Positive Psychology: https://bit.ly/2VLs8cg",58010
HeshmatAlavi,"Iran coronavirus update: Over 32,800 dead, concerns of social unrest escalating
#Iran
#COVID19 
https://t.co/0OOXamJUZy",NULL,66471
news10nbc,"Unity Hospital opened a pop-up grocery store inside its walls to help make its employees' lives a little easier as they help fight the coronavirus pandemic. #ROCTogether https://t.co/qNd0VG3Nla","Rochester, NY",120035
ZENINEWS,"WAYNE DUPREE reports: Cuomo Declares NY Has Reached Coronavirus Peak; Proposes 50% Hazardous Pay Bonus To First Responders  https://t.co/aYiP55Vf0B","United States",107329
TheLeadCNN,"As President Trump tells governors to handle testing on their own, the White House coronavirus task force tells governors the federal government will help @kaitlancollins reports https://t.co/P0SUkJF76l",NULL,179409
carolinagirl63,"THANK YOU @USACEHQ (US Army Corps of Engineers)!!! You are AMAZING and heroes for everything you have done to help during #coronavirus","Gamecock Country, SC",67507
FOX17,"To date, there have been 185 positive cases and nine deaths in Kalamazoo County due to COVID-19
https://t.co/K3pD035URe","West Michigan",72542
FXstreetNews,"US President Trump: Looking at putting as much as 75 million barrels into strategic petroleum reserves https://t.co/SA2a0MXdIl #UnitedStates #Coronavirus #Oil #NewsTrading #RiskAversion",Barcelona,168351
BreakfastNews,"Dr @normanswan says he will download the COVID-19 tracing app.

But he says there is an issue of trust in the community that the Government needs to address. https://t.co/iP6odm03BT",Australia,111323
ddknyt,"Great vivid article about this singular Ramadan, from Cairo:","New York, NY",56280
texyellowdogdem,"Madness...

Georgia has the 9th worst increase of Coronavirus cases in the nation...

Georgia had 790 new cases just yesterday...

The United States only had 118 cases on March 4th... https://t.co/iOc8hvMA5L",Texas,59361
swissbusiness,"Duterte uses Covid-19 response to broaden reign of fear and repression https://t.co/yMSG4NY2IN",Zurich,93023
khaleejtimes,"#Coronavirus: #SaudiArabia suspends praying in the Two Holy Mosques for #Ramadan: https://t.co/Dq4YXs73GO","United Arab Emirates",499815
dev_discourse,"Coronavirus puts missile showdown between Turkey and U.S. on hold https://t.co/eEyC60CPvw","National Capital Region",79117
Trisha_JQY,".@WhiteHouse LIVE: Press Briefing with Coronavirus Task Force https://t.co/84gdAq62Zl",NULL,52264
GezindabaZA,"Coronavirus came &amp; security guards stopped being guards but became doctors..?

We can walk in and out of shopping malls with our hoodies and masks on without any hustles. For as long as we don’t refuse spraying our hands.

Our faces are no longer important for cameras anymore..!","South Africa",65590
jjhorgan,"Today’s announcement includes a commitment to moving patients to the critical care they need at a moment’s notice, as well as:

• housing to help people self-isolate
• faster COVID-19 testing
• culturally safe contact tracing
• virtual connection to doctors","British Columbia",84616
jjhorgan,"We’re taking immediate action make sure people living in rural, remote and Indigenous communities have access to critical health care they can count on during the COVID-19 pandemic and into the future.
https://t.co/fl1KILFAe3","British Columbia",84616
rwang0,"MyPOV: Case fatality rates matter!
If policy makers were aware that the #Covid19 death toll would be closer to that of seasonal flu than the millions of deaths predicted, would they have risked tens of millions of jobs and livelihoods? writes Andrew Bogan https://t.co/Tm2Y02VM1E","Silicon Valley | SF | 39.5K Ft",125660
IndianaUniv,"Indiana University issued a Public Safety Advisory on the coronavirus. https://t.co/KrNAO2Y47p",Indiana,77277
NigeriaNewsdesk,"Sokoto bars suspected coronavirus carrier, family entry into state https://t.co/7YeOcs9RDH",NULL,1655558
todayng,"Sokoto bars suspected coronavirus carrier, family entry into state https://t.co/07K8Mk7AHz",NULL,182117
realTuckFrumper,"Police Issue Citation For Yard Sale After Repeated Warnings To Woman Not To Violate Coronavirus Stay-At-Home Order https://t.co/zBtLY8AgEn","Witness Protection",82116
africaarguments,"#Podcast: Can humour spark political change? What are the political repercussions of #coronavirus in #Africa? How should we write about #COVID19 on the continent? https://t.co/JggY7RERei",NULL,68219
ndtvfeed,"Doctors' Body Warns Retaliatory Measures On Attacks Against Health Staff https://t.co/e6MR472TFm",NULL,214430
GrammarUpdates,"Working from home?

Stay professional. Keep your chats and emails error-free: https://t.co/Hdx6C5fjdS

#grammar #English #communication #writingtips #writingcommunity #Zoom #virtualmeetings #coronavirus #workfromhome #workfromhomelife https://t.co/QBhEadAAf6",NULL,78158
USMCSDI,"Fuck COVID-19

Here's the VIRUS'S  I am worried about

CNN-19, ABC-19, CBS-19, NBC-19, MSNBC-19",NULL,52793
ConversationUS,"An isolation researcher finds common ground between self-isolation and space travel (by @inga_pop) #coronavirus https://t.co/TI1Sh2TTwi","Boston, MA",50135
AlyssaMastro44,"I remember when @NYGovCuomo came to the WH to discuss Sandy money and I was in the meeting and all I can say is *delish* - can’t wait for this read out.","NYC and Columbia County ",134445
Khanoisseur,"This piece lists names and ages of people who died in Florida based on death certificates issued. Florida has 4 million fewer residents than Australia but 12X Australia’s death toll. Australia flattened its curve, Florida hasn’t peaked yet. https://t.co/nDSqIBOTzy","United States",145696
couriermail,"Opinion: Students can ill afford union-sanctioned shutdown and Queensland Teachers' Union now part of the problem, writes Mike O'Connor #education #coronavirus https://t.co/3lzimLlsNF","Queensland, Australia",150302
NBCPhiladelphia,"BREAKING: One week ago, 300 healthcare workers at the Hospital of the University of Pennsylvania gave blood as part of a new test to find out if they have, or ever had, been infected by the coronavirus. It is called antibody testing.  https://t.co/eZzJanAJxH https://t.co/RWd4SvAtZG","Philadelphia, PA",615648
yashar,"I’ve heard the same from a couple nursing home employees in California. They feel like they’re going to kill the residents in their care, so they have stopped showing up. 

The greatest generation...abandoned",NYC/LA,610316
ubctvuganda,"UPDATE: 1 new case confirmed on Monday, a 46 year old Burundian refugee who arrived from Tanzania and was quarantined in Rakai district. Total Confirmed Cases of COVID-19 in Uganda is now 56. 1,177 samples tested on Monday.

Details to follow in a press release by @MinofHealthUG https://t.co/Gi06a7ATyR",Uganda,75211
HamzyCODE,"In the mess we would get the message","Village Square",99046
nytopinion,"A doctor who treated Covid-19 patients at Bellevue in New York City says the coronavirus tricks people into thinking they don't have a deadly pneumonia, sometimes until it is too late https://t.co/gLYZwnZ10s","NYC, London, Paris, Hong Kong",742190
texyellowdogdem,"@originlbookgirl @keithboykin Yep. Georgia was number 9 out of 50 states for new Coronavirus cases yesterday... https://t.co/4ZOZ74jwz5",Texas,59361
Refugees,"Those that have been forced to flee have been heavily impacted by #coronavirus, but are also making a huge positive impact in their communities.

Thank you @hm for giving @refugees a spotlight on your social media channels.","120 countries",2445498
Reuters,"Explainer: Zoom bombs make choosing video apps harder for lockdown chats https://t.co/NKAY8axdSZ https://t.co/rrSKW0nTQK","Around the world",21786450
washingtonpost,""We tested all our patients for coronavirus — and found lots of asymptomatic cases" https://t.co/znBKCzYJYk via @PostEverything","Washington, DC",15547567
TheLeadCNN,"Who’s behind the protests against coronavirus mitigation policies? @miguelmarquez @jeffzeleny report https://t.co/bttpJ1OAJE",NULL,179408
WSMV,"LIVE: President, health officials discuss COVID-19 response https://t.co/f662vRp8so","Nashville, TN",264806
945thebuzz,"Harris Co. Sheriff: 126 Employees Diagnosed with COVID-19 https://t.co/08Ro79eBMG","Houston, TX",53962
AndrewMayne,"@Cernovich I hope the fatality rate is as low as they say, but isn't there some skepticism about the antibody false positives in the brand of tests they're using? According to this the company doesn't make the test, they import questionable kits from China: https://t.co/XGm9Es56bd","Closer than you think.",842819
drboycewatkins1,"Sobering fact:  Even in the worst case scenario, even the most pessimistic scientists predict that less than 1% of the population will be exposed to #coronavirus.  Also, the overwhelming majority of those infected will survive.","Chicago, IL",105029
HeraldTribune,"Coronavirus live updates: States reveal reopening plans; Lockdown protests heat up; New York City cancels major June events https://t.co/Vxlq0a7gbC","Sarasota, Florida",55116
WLKY,"Norton patient will become first in world to participate in COVID-19 drug trial https://t.co/abvgSl4go6","Louisville, KY",123182
11AliveNews,"Entire family on the mend from COVID-19 sends message of hope to those still fighting it https://t.co/ECJt4IJhOT",Atlanta,397549
WPXI,"Carnegie Mellon researchers gather medical, self-reported data to track coronavirus activity https://t.co/Egs6TBr2wv",Pittsburgh,198625
BBCNWT,"How do I know if I have coronavirus or hay fever?

https://t.co/y9NEA9Jyee","North West England",256692
conservmillen,"Hopefully you’re including the WHO, the CDC, China and the members of left wing media who all led us to believe through January and February that this isn’t a huge deal and that Trump’s China ban was xenophobic.",NULL,274227
ZENINEWS,"NATIONAL REVIEW reported: It’s Time to Redesign Government-Hospital Coronavirus Funding  https://t.co/cRtWBLj1it","United States",107329
MarkWarner,"Last month the White House promised 27 million coronavirus tests would be done by the end of March. Only a fraction of that has actually been completed, and now it’s apparently the states’ problem.
 
This is not leadership. Where are the tests?",Virginia,468000
globalnews,"WATCH LIVE: Trump, U.S. task force to provide update on COVID-19 response

https://t.co/WaQtNrrY2l",NULL,471559
BuzzFeedNews,""Most have few to no memories of the US before 9/11, unlike millennials and other older generations. The country has always felt like it was in a free fall.” https://t.co/bshwt6FhJY",NULL,1352621
usatodayDC,"President Trump has sparred with governors throughout his coronavirus response, with many states criticizing the administration's response. https://t.co/ouFZi5xxbF","Washington, D.C.",213156
EricHolthaus,"Any rational plan to open up the economy post-pandemic must include a planned, orderly phase-out of the fossil fuel economy with support for its workers.

"crash decarbonization" can transition into complete decarbonization. We must do this to survive.

https://t.co/OZuQLm4vkS","Mdewakanton land / Minnesota",483217
lifeinsider,"A 5-year-old Michigan girl died from the coronavirus, but deaths in young children from the disease are still rare https://t.co/6xr4TP455U","New York",50051
acoyne,"The answer: the government must ban all sanitizers and disinfectants...

Americans Are Poisoning Themselves in Their Rush to Fight Virus https://t.co/ztU6Kvjh3S",NULL,99436
CNBC,"WATCH LIVE: Coronavirus task force holds briefing as lawmakers fail to pass more funding. https://t.co/5NyREBoo6C","Englewood Cliffs, NJ",3571441
DeadlineWH,""It's really ironic because at this time as Donald Trump is lambasting Pelosi, she and Chuck Schumer, two Democrats, are gonna deliver Donald Trump another big package for the coronavirus stimulus that he's seeking" - @JakeSherman w/ @NicolleDWallace https://t.co/ixSfRwSe89","New York, NY",233547
8NewsNow,"Pres. Trump says he will be meeting with New York Gov. Cuomo tomorrow in Washington D.C. 

New York has been a hot spot of the coronavirus and currently has the most deaths of any state with 12,654 #8NN https://t.co/7T6qeR1OBd","Las Vegas, Nevada",239109
monitornews,"DHS: Restricted travel extended 30 days #RGV #coronavirus https://t.co/iNrHTnC9Eb","McAllen, Texas",54192
geekwire,"UW Medicine calls a halt to use of donated COVID-19 test kits amid quality concerns https://t.co/WAxEps0XEI",Seattle,126086
voxdotcom,"It could be a year or more before a #coronavirus vaccine is ready. 

On this episode of @today_explained, @nhassenfeld explores a radical plan to speed up the process. 

Listen: https://t.co/YEXEkjdaEr https://t.co/1kCs0oMcBK",NULL,934717
TeamYouTube,"@BrittanyVenti (1/2) As we shared earlier, due to the impact of the coronavirus (COVID-19) on our workforce, we have limited human reviewers &amp; most of the content removal decisions are being made by our automated system – that's why there are more errors than usual.","San Bruno, CA",818677
thehill,"Trump Jr., GOP senator rip Facebook for taking down pages of some protests organized against coronavirus stay-at-home orders https://t.co/kOzSNHJK8X https://t.co/uanrJbZRZo","Washington, DC",3729175
Noahpinion,"NOOOOOOOOO, rabbits can get coronavirus too!!!

https://t.co/lmB4w8WlH6","San Francisco, CA",174754
freep,"No plan yet from Whitmer on reopening Michigan's economy after coronavirus shutdown https://t.co/p0bNYabe4g",Detroit,483395
ZENINEWS,"NATIONAL REVIEW reports: Italy Is Fighting COVID-19 — and Capitalism  https://t.co/HWhOIFfp1D","United States",107329
lifehacker,"How to help fight the coronavirus BS in your newsfeed: https://t.co/vZbEYQqa10 https://t.co/cPD1DpHw0N",NULL,4130943
JoeFreedomLove,"Illinois Senate Democrats Seek Massive Federal Bailout for State, Going Far Beyond Coronavirus Impact | Zero Hedge https://t.co/ZxDPFEG32n","Conservativeland, Orange Co CA",65283
JamesMelville,"While the British government have got it badly wrong in their response to the #coronavirus crisis, the British people have, by and large, got it magnificently right. The public are serving their country better than the people who purportedly serve them.","United Kingdom",156586
MegaTJP,"Sweden says its no-lockdown strategy proving effective against coronavirus https://t.co/YVzhp2lpDc",Instagram.com/MegaTJP,128164
JoeFreedomLove,"Here Is The Full Explanation Behind Today's Unprecedented Negative Oil Price | Zero Hedge https://t.co/IC0b3vMSH7","Conservativeland, Orange Co CA",65283
Rilwannajib,"Even arsenal fans will sacrifice arsenal",NULL,56108
smh,"How local outbreaks of COVID-19 occurred across Sydney | @pallavisinghal_ https://t.co/YJI6JNjSQm","Sydney, Australia",805472
OBJUpdate,"The Re-Open #Florida Task Force Executive Committee includes 22 businesspeople and state leaders who will help lead the state out of the economic wreckage caused by the #coronavirus pandemic. What do you hope they do?
#businessnews #Orlando #localbusiness https://t.co/PxjGYdxObE",Orlando,68584
usatodayDC,"NY Gov. Cuomo declared Monday that "the worst is over" – if residents continue to follow rigid behavior guidelines. 
https://t.co/x1OQ4hUILl","Washington, D.C.",213157
LegalRealEstate,"Potential Impacts of COVID-19 on Construction Projects in Canada https://t.co/MfsbM8qQ4o | by @FTIConsulting",JDSupra.com,101772
brexit_sham,""Government science chief today refused to rule out that allowing 3,000 Madrid football fans to travel to Liverpool for a football match last month may have contributed to a spread of the deadly coronavirus in the city."
https://t.co/4HFOI0uglp",Europe,54338
LegendaryEnergy,"What happens to the death rate if the virus is 50-85x more widespread than being reported? https://t.co/s0Ao6m9V5N","United States",80153
TomthunkitsMind,"CAUGHT IN ANOTHER LIE:
‘I don’t like having thousands of people around when you don’t need ‘em’ — On Feb. 26, Trump said he fired the White House pandemic office to save money, but on March 13 claimed he didn’t know anything about it.
https://t.co/87PbSkY47Q #coronavirus 06","Atlanta, GA",70102
technology,"The Covid-19 pandemic is said to have “highlighted systemic weaknesses” in health readiness around the world https://t.co/cgbxXXdHas","San Francisco",351621
essenviews,"Ohio, GOP state Rep. Nino Vitale: "No government can stop death, no matter how hard we try,"  "Life comes with some level of risk and it should be our choice to determine how we assess that risk as free citizens." 
https://t.co/j4j5kD58Oi","Global Watch ",135476
GlobalFundWomen,"Keep WHRDs safe from COVID-19 &amp; #LetThePrisonersOut. Solafa Magdy, detained since November 2019. Mahienour Al-Masry, detained since September 2019. Esraa Abdel Fattah, detained since October 2019. @NazraEgypt https://t.co/xUdgEPfaRM https://t.co/evMiIgwcLp",International,251976
ClayTravis,"Last month Kentucky governor @GovAndyBeshear told Kentuckians not to travel to Tennessee because the coronavirus had made it unsafe there. Today Kentucky passed Tennessee in coronavirus deaths.",Nashville,664890
Libertea2012,"Bigger checks? Relief for states? What could be in the next coronavirus bill https://t.co/TOr96zE5j9",ProgressiveLand,50710
QuickTake,"LIVE: Members of the White House Coronavirus Task Force brief the press https://t.co/ic49QqrdJM",NULL,1045025
Blackamazon,"They just gone take the racism and run for GOLD","Far Rock➡️LA ",51317
susanslusser,"Coronavirus live updates: SF releases map of infections by ZIP code; Mission District has most cases https://t.co/HRlIFrKeZf",NULL,63604
FreeStateNH,"What a lot of people don't realize about this coronavirus situation is that taxation is theft","New Hampshire",64693
WSJecon,"Can anyone who wants a coronavirus test get one? WSJ is updating this guide regularly with what we learn about the state of testing and treatment https://t.co/MpVLU1ouXz","Washington, D.C.",797814
Bossip,"Clamoring COVIDiot Brian Kemp To Reopen GA’s Barbershops, BOWLING Alleys &amp; Coronavirus Coated Establishments FRIDAY https://t.co/SUzH6dDnAN

(Kevin C. Cox / Getty) https://t.co/MqjXXPIrhn","Atlanta, GA",339108
SteveHiltonx,"establishment groupthink LOVED this testing expose - another chance for 37% work-from-home elite to push Endless Shutdown

they are COMPLETELY WRONG

instead of "widespread virus testing" we need nationwide Survey Testing to show true case/mortality rates
https://t.co/ozn9OSxQKb",California,100936
BelTel,"Coronavirus: Tributes paid to health worker from NI who died in London after contracting virus

#coronavirus | #COVID19 

https://t.co/0GQ6Fxm2Eg https://t.co/5N6gWfXZie","Belfast, Northern Ireland",183931
BeatrizTalegon,"WHO warns that few have developed antibodies to Covid-19 | Society | The Guardian https://t.co/9GOV27Bftr",España,247331
PatriotsOfMars,"Not one person was denied a ventilator that needed one

How the Media Completely Blew the Trump Ventilator Story https://t.co/9UM0Kj75Dw","on the Jersey side (NYC area)",169527
crowdfundcash,"Check out #Kickstarter, only 24 days left! #indiedev #gamedev #visualnovel #Xpresso_Games #Crowdfundcash 
 
 #Support please today 
 
  Click Below https://t.co/imM9E1CdrX","Get Promoted!  Get Funded!",97359
IlvesToomas,"Singapore Seemed to Have Coronavirus Under Control, Until Cases Doubled - The New York Times https://t.co/13epXW6adR","Estonia/Stanford, CA",103821
ron_fournier,"“At one of the first coronavirus briefings, on Feb. 26, the president said that the country’s 15 cases of infection would soon be zero, given the “pretty good job we’ve done.” As of Sunday, the positive tests totaled 749,203.” https://t.co/VVUr3UdBpM","Detroit, MI",68041
Independent,"Lockdown protests sweep across US with 'Operation Gridlock' reaching Pennsylvania https://t.co/qgEw5xSDde","London, England",3195517
jaredlholt,"Welcome to coronavirus trutherism","Washington, DC",74993
bjpenndotcom,"Breaking! Lyman Good becomes the first UFC fighter to test positive for coronavirus. https://t.co/RP9ZgTKvIu","Hilo,Hawaii",577155
TRTWorldNow,"US President Trump on Covid-19 crisis

- Social distancing must continue
- Deal on small business programme soon; vote in Senate likely tomorrow https://t.co/jHb3PJjlWc","Istanbul, Turkey",81182
